               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072042,            0.030722,                   0,            0.052384,             0.57143,            0.058872,            0.011714,            0.037972,            0.025331,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.069539,            0.031634,                   0,              0.0025,             0.42857,           0.0064184,          0.00088548,            0.039876,            0.023874,                   0,            0.077494,           0.0024938,           0.0024938
                   2,            0.071912,            0.031205,                   0,            0.037337,             0.85714,             0.16538,            0.048576,            0.029989,            0.023143,                   0,            0.065781,           0.0037812,           0.0037812
                   3,            0.051709,            0.029619,                   0,            0.037337,             0.85714,             0.16538,            0.048576,            0.029989,            0.023143,                   0,            0.054062,           0.0050621,           0.0050621
                   4,            0.054412,            0.032024,                   0,           0.0069911,                   1,             0.11727,            0.030654,            0.022322,            0.022764,                   0,            0.042337,           0.0063366,           0.0063366
                   5,            0.055784,            0.033535,                   0,           0.0069911,                   1,             0.11727,            0.030654,            0.022322,            0.022764,                   0,            0.030605,           0.0076047,           0.0076047
                   6,            0.053874,            0.027665,                   0,            0.022234,                   1,             0.25083,            0.054023,            0.018546,            0.021948,                   0,            0.018866,           0.0088663,           0.0088663
                   7,            0.069565,            0.033048,                   0,            0.022234,                   1,             0.25083,            0.054023,            0.018546,            0.021948,                   0,           0.0098268,           0.0098268,           0.0098268
                   8,            0.044774,            0.027625,                   0,            0.088656,             0.57143,             0.18684,            0.070838,            0.024096,            0.018996,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,             0.05187,            0.025688,                   0,            0.088656,             0.57143,             0.18684,            0.070838,            0.024096,            0.018996,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.058448,            0.028994,                   0,             0.39766,             0.42857,             0.41363,             0.17409,            0.015701,            0.017037,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.054962,            0.024443,                   0,             0.39766,             0.42857,             0.41363,             0.17409,            0.015701,            0.017037,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.055172,            0.027467,                   0,             0.39766,             0.42857,             0.41363,             0.17409,            0.015701,            0.017037,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.056584,            0.025978,                   0,             0.67891,             0.30671,             0.63444,             0.26613,            0.018329,            0.014441,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.049579,            0.025241,                   0,             0.67891,             0.30671,             0.63444,             0.26613,            0.018329,            0.014441,                   0,           0.0096783,           0.0096783,           0.0096783
                  15,            0.060371,            0.027767,                   0,             0.85221,             0.71429,             0.85033,             0.36695,            0.017486,            0.013006,                   0,           0.0096535,           0.0096535,           0.0096535
                  16,            0.042594,            0.022031,                   0,             0.85221,             0.71429,             0.85033,             0.36695,            0.017486,            0.013006,                   0,           0.0096288,           0.0096288,           0.0096288
                  17,            0.049153,            0.022858,                   0,             0.85221,             0.71429,             0.85033,             0.36695,            0.017486,            0.013006,                   0,            0.009604,            0.009604,            0.009604
                  18,             0.04567,            0.023683,                   0,             0.59756,             0.57143,             0.65972,             0.32243,            0.021959,            0.011197,                   0,           0.0095793,           0.0095793,           0.0095793
                  19,            0.047408,            0.021426,                   0,             0.59756,             0.57143,             0.65972,             0.32243,            0.021959,            0.011197,                   0,           0.0095545,           0.0095545,           0.0095545
                  20,             0.04428,             0.01805,                   0,             0.66642,             0.85714,             0.86266,             0.31783,             0.01998,            0.010524,                   0,           0.0095298,           0.0095298,           0.0095298
                  21,            0.048415,            0.019649,                   0,             0.66642,             0.85714,             0.86266,             0.31783,             0.01998,            0.010524,                   0,            0.009505,            0.009505,            0.009505
                  22,            0.050379,            0.020864,                   0,             0.66642,             0.85714,             0.86266,             0.31783,             0.01998,            0.010524,                   0,           0.0094803,           0.0094803,           0.0094803
                  23,            0.041917,            0.020378,                   0,             0.80956,             0.85714,             0.94389,             0.39145,             0.02049,           0.0097629,                   0,           0.0094555,           0.0094555,           0.0094555
                  24,            0.046207,            0.022328,                   0,             0.80956,             0.85714,             0.94389,             0.39145,             0.02049,           0.0097629,                   0,           0.0094307,           0.0094307,           0.0094307
                  25,            0.041016,            0.016904,                   0,             0.75459,             0.88073,             0.94389,             0.40268,            0.015893,           0.0087998,                   0,            0.009406,            0.009406,            0.009406
                  26,            0.031555,            0.017764,                   0,             0.75459,             0.88073,             0.94389,             0.40268,            0.015893,           0.0087998,                   0,           0.0093813,           0.0093813,           0.0093813
                  27,             0.03748,            0.016438,                   0,             0.75459,             0.88073,             0.94389,             0.40268,            0.015893,           0.0087998,                   0,           0.0093565,           0.0093565,           0.0093565
                  28,            0.034675,            0.021293,                   0,              0.9065,             0.85714,              0.9775,             0.47271,            0.013362,           0.0083586,                   0,           0.0093317,           0.0093317,           0.0093317
                  29,            0.038382,            0.016816,                   0,              0.9065,             0.85714,              0.9775,             0.47271,            0.013362,           0.0083586,                   0,            0.009307,            0.009307,            0.009307
                  30,            0.038258,            0.017151,                   0,             0.66962,             0.86981,               0.911,             0.33976,            0.016355,             0.00717,                   0,           0.0092823,           0.0092823,           0.0092823
                  31,            0.041371,            0.016027,                   0,             0.66962,             0.86981,               0.911,             0.33976,            0.016355,             0.00717,                   0,           0.0092575,           0.0092575,           0.0092575
                  32,             0.03771,             0.01664,                   0,             0.66962,             0.86981,               0.911,             0.33976,            0.016355,             0.00717,                   0,           0.0092327,           0.0092327,           0.0092327
                  33,            0.031977,            0.015997,                   0,              0.8709,             0.96724,                0.96,             0.35683,            0.015471,           0.0065949,                   0,            0.009208,            0.009208,            0.009208
                  34,            0.034113,            0.016691,                   0,              0.8709,             0.96724,                0.96,             0.35683,            0.015471,           0.0065949,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,            0.043319,            0.014428,                   0,              0.6803,             0.71429,             0.83803,             0.36444,            0.017611,           0.0061477,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.046069,            0.014942,                   0,              0.6803,             0.71429,             0.83803,             0.36444,            0.017611,           0.0061477,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.041485,            0.015083,                   0,              0.6803,             0.71429,             0.83803,             0.36444,            0.017611,           0.0061477,                   0,            0.009109,            0.009109,            0.009109
                  38,            0.041648,            0.012933,                   0,             0.44882,             0.85714,             0.48875,             0.23052,            0.020396,           0.0057511,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.045548,            0.015551,                   0,             0.44882,             0.85714,             0.48875,             0.23052,            0.020396,           0.0057511,                   0,           0.0090595,           0.0090595,           0.0090595
