               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063974,            0.017325,           0.0037561,             0.28821,             0.88515,             0.68644,             0.35048,             0.04833,            0.011204,           0.0016498,            0.008845,            0.008845,            0.008845
                  37,            0.059844,            0.017791,           0.0025869,             0.29832,             0.88462,             0.68794,             0.39848,            0.052895,            0.011339,           0.0016282,            0.008812,            0.008812,            0.008812
                  38,             0.05331,            0.015764,           0.0028092,             0.43281,             0.90025,             0.83099,             0.47068,            0.041311,            0.011275,           0.0016291,            0.008779,            0.008779,            0.008779
                  39,            0.056485,            0.018394,           0.0033044,             0.32868,             0.86501,             0.68059,              0.2566,            0.045332,            0.010672,           0.0016484,            0.008746,            0.008746,            0.008746
                  40,            0.058389,            0.015687,           0.0026943,             0.32868,             0.86501,             0.68059,              0.2566,            0.045332,            0.010672,           0.0016484,            0.008713,            0.008713,            0.008713
                  41,            0.054851,            0.017213,            0.002601,             0.30366,             0.88462,             0.71534,             0.25475,            0.044188,            0.010157,           0.0014236,             0.00868,             0.00868,             0.00868
                  42,             0.05554,            0.016852,           0.0023254,             0.50287,             0.88462,             0.83074,             0.41269,            0.050411,            0.010241,           0.0013405,            0.008647,            0.008647,            0.008647
                  43,            0.058169,            0.014932,           0.0019049,             0.50287,             0.88462,             0.83074,             0.41269,            0.050411,            0.010241,           0.0013405,            0.008614,            0.008614,            0.008614
                  44,            0.059688,            0.017141,           0.0027503,             0.58351,             0.88462,             0.92511,             0.55373,            0.042783,           0.0098733,           0.0013792,            0.008581,            0.008581,            0.008581
                  45,            0.053363,            0.015586,           0.0026105,             0.39122,             0.88462,             0.78883,             0.46115,            0.050607,           0.0087573,           0.0011267,            0.008548,            0.008548,            0.008548
                  46,              0.0606,            0.016733,           0.0021074,             0.39122,             0.88462,             0.78883,             0.46115,            0.050607,           0.0087573,           0.0011267,            0.008515,            0.008515,            0.008515
                  47,            0.059211,            0.016617,           0.0022732,             0.52785,             0.84615,             0.80015,             0.48805,            0.049556,           0.0087182,            0.001063,            0.008482,            0.008482,            0.008482
                  48,            0.060492,            0.018796,           0.0020244,             0.65427,             0.72111,              0.8076,             0.40691,            0.044584,            0.009229,           0.0012341,            0.008449,            0.008449,            0.008449
